time,speed,target_speed,throttle,brake,steer,energy,curvature
0,0.23337243,11.57448959350586,1.0,0.0,-0.033747979097444036,1.0,0.0
1,0.23370592,3.289095878601074,0.0,1.0,-0.16682904670478277,0.1,0.05294914861900244
2,0.20143525,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
3,0.16076641,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
4,0.12242109,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
5,0.09031116,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
6,0.06511278,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
7,0.046137657,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
8,0.032249823,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
9,0.022295713,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
10,0.015275364,3.2223894596099854,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
11,0.6447056,3.2223894596099854,1.0,0.0,-0.2886249477679765,1.0,0.05475871370110483
12,1.4281616,3.223558187484741,1.0,0.0,-0.27677747843077044,1.0,0.05475871370110483
13,2.078487,3.223558187484741,0.7355468273162842,0.0,-0.25773803600938344,0.5410291351750516,0.05475871370110483
14,2.5731134,3.223558187484741,0.399871289730072,0.0,-0.23504614880922847,0.1598970483503912,0.05475871370110483
15,2.9315479,3.2125768661499023,0.15707141160964966,0.0,-0.2102604301602397,0.024671428345047985,0.05475871370110483
16,3.14362,3.2125768661499023,0.10268771648406982,0.0,-0.18594080805164404,0.010544767116712706,0.05475871370110483
17,3.249828,3.2125768661499023,0.10215739905834198,0.0,-0.16271325989031274,0.01043613418236533,0.05475871370110483
18,3.301262,3.226656913757324,0.13328495621681213,0.0,-0.1419658766781758,0.017764879553717527,0.05475871370110483
19,3.3157604,3.225175619125366,0.13822625577449799,0.0,-0.12308250317903052,0.019106497785436938,0.05475871370110483
20,3.3198357,3.225175619125366,0.14558212459087372,0.0,-0.10686433283079057,0.021194155000392678,0.05475871370110483
21,3.311121,3.2002828121185303,0.11674697697162628,0.0,-0.23983493976215975,0.013629856632013437,0.054760447956849596
22,3.284134,3.2261693477630615,0.2383825033903122,0.0,-0.22384458244457253,0.056826217922632205,0.054760447956849596
23,3.263451,3.2261693477630615,0.22668810188770294,0.0,-0.19897009073167912,0.05138749553744959,0.054760447956849596
24,3.2701151,3.2002828121185303,0.1405549794435501,0.0,-0.17456580467609686,0.019755702246376794,0.054760447956849596
25,3.2692516,3.2114078998565674,0.1967936009168625,0.0,-0.15205254424019166,0.03872772136182534,0.054760447956849596
26,3.2713892,3.2114078998565674,0.18022973835468292,0.0,-0.1325512461048095,0.032482758587397464,0.054760447956849596
27,3.2688105,3.2114078998565674,0.18723785877227783,0.0,-0.11501913482820791,0.03505801575762746,0.054760447956849596
28,3.2708747,3.2114078998565674,0.18023334443569183,0.0,-0.10008559653359354,0.03248405844647473,0.054760447956849596
29,3.2683156,3.2125768661499023,0.1894751787185669,0.0,-0.08662519429617285,0.035900843350432865,0.054760447956849596
30,3.269557,3.2125768661499023,0.18297922611236572,0.0,-0.07529658357594421,0.03348139718868026,0.054760447956849596
31,3.2676413,3.226656913757324,0.21600723266601562,0.0,-0.06501367650198554,0.04665912456403021,0.054760447956849596
32,3.270942,3.226656913757324,0.19318874180316925,0.0,-0.056477321146138425,0.037321889959491594,0.054760447956849596
33,3.2737737,3.225175619125366,0.18762043118476868,0.0,-0.04863872404268954,0.03520142619795852,0.054760447956849596
34,3.2776015,3.225175619125366,0.1840156614780426,0.0,-0.04223540531848972,0.03386176366920157,0.054760447956849596
35,3.2781117,3.2261693477630615,0.18855078518390656,0.0,-0.21525031845604395,0.035551398593467676,0.05475762914401742
36,3.267978,3.2261693477630615,0.20812571048736572,0.0,-0.2080383469688217,0.043316311365870774,0.05475762914401742
37,3.253021,3.2002828121185303,0.17586910724639893,0.0,-0.18793864251068412,0.030929942883645367,0.05475762914401742
38,3.2590923,3.2114078998565674,0.19666779041290283,0.0,-0.16554596374554825,0.038678219785893475,0.05475762914401742
39,3.2598007,3.2114078998565674,0.18995538353919983,0.0,-0.1443366473568371,0.03608304773552451,0.05475762914401742
40,3.2664518,3.2114078998565674,0.17708615958690643,0.0,-0.12586508009455027,0.03135950791723929,0.05475762914401742
41,3.2659767,3.2114078998565674,0.1844148188829422,0.0,-0.10919689503678122,0.034008825423628375,0.05475762914401742
42,3.2685757,3.2125768661499023,0.18079958856105804,0.0,-0.09500725124797316,0.03268849122384787,0.05475762914401742
43,3.2663188,3.2125768661499023,0.18647466599941254,0.0,-0.08219949355302193,0.03477280105959246,0.05475762914401742
44,3.267379,3.226656913757324,0.21005378663539886,0.0,-0.07144195912493251,0.04412259327986967,0.05475762914401742
45,3.2675552,3.226656913757324,0.19647710025310516,0.0,-0.061660104781341894,0.03860325092386874,0.05475762914401742
46,3.2724302,3.225175619125366,0.18370454013347626,0.0,-0.053554190775079655,0.03374735806565199,0.05475762914401742
47,3.2739038,3.225175619125366,0.186869814991951,0.0,-0.046093449643291366,0.03492032775512599,0.05475762914401742
48,3.2760458,3.2261693477630615,0.18579764664173126,0.0,-0.23709217511893255,0.03452076549760563,0.0547599666677708
49,3.2629838,3.2261693477630615,0.212885782122612,0.0,-0.22940107411752986,0.04532035622995623,0.0547599666677708
50,3.2489572,3.2002828121185303,0.17586062848567963,0.0,-0.20876415942552254,0.030926960651378232,0.0547599666677708
51,3.2487223,3.2044243812561035,0.19625185430049896,0.0,-0.1838601219858875,0.03851479031638427,0.0547599666677708
52,3.2565606,3.2114078998565674,0.1899402141571045,0.0,-0.16095333873457202,0.03607728495404672,0.0547599666677708
53,3.2580152,3.2114078998565674,0.18765273690223694,0.0,-0.14007827720536611,0.03521354966690016,0.0547599666677708
